id,CH,CH_traditional,Pinyin,POS,EN,CH_Sentence,EN_Sentence,media
7054,史语所,史語所,Shǐyǔsuǒ,noun,Institute of History and Philology,他在<b>史语所</b>从事考古研究。,He conducts archaeological research at the <b>Institute of History and Philology</b>.,
7055,党员,黨員,dǎngyuán,noun,party member,他是一名有着三十年党龄的老<b>党员</b>。,He is an old <b>party member</b> with thirty years of party membership.,
7056,点点,點點,diǎndiǎn,noun,"tiny bit, spots",他的衣服上沾了几<b>点点</b>墨水。,There were a few <b>spots</b> of ink on his clothes.,
7057,人手,人手,rénshǒu,noun,"manpower, hands, staff",我们的餐厅现在急需<b>人手</b>。,Our restaurant is in urgent need of <b>manpower</b> right now.,
7058,总体,總體,zǒngtǐ,noun,"whole, overall, total",这项计划的<b>总体</b>目标已经实现。,The <b>overall</b> goal of this project has been achieved.,
7059,认,認,rèn,verb,"recognize, admit, acknowledge",我竟然没<b>认</b>出他来。,I surprisingly didn't <b>recognize</b> him.,
7060,操,操,cāo,verb,"hold, operate, drill",他<b>操</b>着一口地道的北京腔。,He <b>speaks</b> with a perfect Beijing accent.,
7061,关系,關係,guānxì,verb,"concern, affect, relate to",这个问题<b>关系</b>到每个人的利益。,This issue <b>affects</b> the interests of everyone.,
7062,甄选,甄選,zhēnxuǎn,verb,"select, screen",公司正在<b>甄选</b>合适的候选人。,The company is currently <b>selecting</b> suitable candidates.,
7063,蔓延,蔓延,mànyán,verb,"spread, extend",火势迅速向森林深处<b>蔓延</b>。,The fire <b>spread</b> rapidly deep into the forest.,
7064,夺得,奪得,duódé,verb,"win, capture, achieve",她在比赛中<b>夺得</b>了金牌。,She <b>won</b> the gold medal in the competition.,
7065,云,云,yún,verb,"say, speak",古人<b>云</b>：“温故而知新。”,"As the ancients <b>say</b>: ""Review the old and learn the new.""",
7066,远东,遠東,Yuǎndōng,noun,Far East,他曾被派往<b>远东</b>地区工作。,He was once sent to work in the <b>Far East</b>.,
7067,调高,調高,tiáogāo,verb,"increase, raise",银行决定<b>调高</b>利率。,The bank decided to <b>increase</b> the interest rate.,
7068,随地,隨地,suídì,adv,"anywhere, everywhere",请不要<b>随地</b>乱丢垃圾。,Please do not litter <b>anywhere</b>.,
7069,弊端,弊端,bìduān,noun,"malpractice, drawback",这种制度存在很多<b>弊端</b>。,There are many <b>drawbacks</b> in this system.,
7070,积分,積分,jīfēn,noun,"score, integral",这种卡可以通过消费累积<b>积分</b>。,This card allows you to accumulate <b>points</b> through spending.,
7071,课堂,課堂,kètáng,noun,"classroom, class",老师在<b>课堂</b>上讲解了新课。,The teacher explained the new lesson in the <b>classroom</b>.,
7072,蒙古,蒙古,Měnggǔ,noun,Mongolia,他去年去了<b>蒙古</b>旅游。,He traveled to <b>Mongolia</b> last year.,
7073,摘,摘,zhāi,verb,"pick, pluck",孩子们在果园里<b>摘</b>苹果。,The children are <b>picking</b> apples in the orchard.,
7074,欧洲人,歐洲人,Ōuzhōurén,noun,European,许多<b>欧洲人</b>喜欢在夏天度假。,Many <b>Europeans</b> like to go on vacation in the summer.,
7075,灯具,燈具,dēngjù,noun,"lamps, lighting fixtures",这家商店出售各种高档<b>灯具</b>。,This store sells various high-end <b>lighting fixtures</b>.,
7076,劳保,勞保,láobǎo,noun,labor insurance,公司按规定为员工缴纳<b>劳保</b>。,The company pays <b>labor insurance</b> for employees according to regulations.,
7077,买进,買進,mǎijìn,verb,"buy, purchase",投资者决定大量<b>买进</b>这支股票。,Investors decided to <b>buy</b> this stock in large quantities.,
7078,意识到,意識到,yìshídào,verb,"realize, be aware of",他突然<b>意识到</b>自己犯了一个错误。,He suddenly <b>realized</b> he had made a mistake.,
7079,渴望,渴望,kěwàng,verb,"thirst for, long for",灾区人民<b>渴望</b>得到援助。,The people in the disaster area <b>long for</b> aid.,
7080,麦克风,麥克風,màikèfēng,noun,microphone,请把<b>麦克风</b>递给那位观众。,Please hand the <b>microphone</b> to that audience member.,
7081,发放,發放,fāfàng,verb,"distribute, issue",政府正在<b>发放</b>救灾物资。,The government is <b>distributing</b> relief supplies.,
7082,节点,節點,jiédiǎn,noun,"node, junction",这个项目有几个关键的时间<b>节点</b>。,There are several key time <b>nodes</b> in this project.,
7083,违建,違建,wéijiàn,noun,"illegal building, unauthorized construction",市政府下令拆除所有的<b>违建</b>。,The city government ordered the demolition of all <b>illegal constructions</b>.,
7084,农田,農田,nóngtián,noun,"farmland, cropland",这里的<b>农田</b>非常肥沃。,The <b>farmland</b> here is very fertile.,
7085,游览车,遊覽車,yóulǎnchē,noun,"tour bus, coach",我们坐<b>游览车</b>参观了整个城市。,We took a <b>tour bus</b> to see the whole city.,
7086,接待,接待,jiēdài,verb,"receive, host",饭店的服务员热情地<b>接待</b>了我们。,The hotel staff warmly <b>received</b> us.,
7087,轴,軸,zhóu,noun,"axle, axis, shaft",这辆车的<b>轴</b>断了。,The <b>axle</b> of this car is broken.,
7088,标竿,標竿,biāogān,noun,"surveyor's pole, benchmark",他把<b>标竿</b>插在草地上。,He stuck the <b>surveyor's pole</b> into the grass.,
7089,载入,載入,zàirù,verb,"load, record in",电脑正在<b>载入</b>程序。,The computer is <b>loading</b> the program.,
7090,要紧,要緊,yàojǐn,adj,"important, critical, serious",没什么<b>要紧</b>的事。,There is nothing <b>important</b> going on.,
7091,订购,訂購,dìnggòu,verb,order goods,我们打算<b>订购</b>一批新书。,We plan to <b>order</b> a batch of new books.,
7092,前方,前方,qiánfāng,noun,"ahead, front, front line",<b>前方</b>有一辆救护车。,There is an ambulance <b>ahead</b>.,
7093,军官,軍官,jūnguān,noun,military officer,他退休前是一名<b>军官</b>。,He was a <b>military officer</b> before he retired.,
7094,烈,烈,liè,adj,"strong, violent, intense",午后的阳光非常<b>烈</b>。,The afternoon sun is very <b>intense</b>.,
7095,保送,保送,bǎosòng,verb,recommend for admission,他被<b>保送</b>到了名牌大学。,He was <b>recommended for admission</b> to a prestigious university.,
7096,美妙,美妙,měimiào,adj,"beautiful, wonderful, splendid",这里的风景非常<b>美妙</b>。,The scenery here is very <b>wonderful</b>.,
7097,哈佛,哈佛,Hāfó,noun,Harvard,他的梦想是考入<b>哈佛</b>。,His dream is to get into <b>Harvard</b>.,
7098,东区,東區,dōngqū,noun,"eastern district, east sector",我住在城市的<b>东区</b>。,I live in the <b>eastern district</b> of the city.,
7099,保费,保費,bǎofèi,noun,insurance premium,每月的<b>保费</b>是两百元。,The monthly <b>insurance premium</b> is two hundred yuan.,
7100,近代史,近代史,jìndàishǐ,noun,modern history,教授正在讲解中国<b>近代史</b>。,The professor is explaining Chinese <b>modern history</b>.,
7101,相通,相通,xiāngtōng,verb,"communicate, interconnect",这里的几条路是<b>相通</b>的。,These several roads are <b>interconnected</b>.,
7102,怨,怨,yuàn,verb,"blame, complain, reproach",这事不能<b>怨</b>他。,You can't <b>blame</b> him for this.,
7103,相对于,相對於,xiāngduìyú,prep,"relative to, compared to",<b>相对于</b>去年，今年的利润有所增加。,"<b>Compared to</b> last year, this year's profit has increased.",
7104,恰好,恰好,qiàhǎo,adv,"just right, exactly, coincidentally",我来的时候，他<b>恰好</b>要出门。,He happened to be going out <b>exactly</b> when I arrived.,
7105,乘坐,乘坐,chéngzuò,verb,"ride, travel by",欢迎<b>乘坐</b>本次列车。,Welcome to <b>travel by</b> this train.,
7106,受损,受損,shòusǔn,verb,"suffer damage, be damaged",很多房屋在地震中<b>受损</b>。,Many houses were <b>damaged</b> in the earthquake.,
7107,祈求,祈求,qíqiú,verb,"pray for, supplicate, plead",灾民们跪在地上，<b>祈求</b>上天降雨。,"The victims knelt on the ground, <b>praying</b> for rain from heaven.",
7108,立,立,lì,verb,"stand, establish, exist",教室门口<b>立</b>着一个牌子。,A sign <b>stands</b> at the entrance of the classroom.,
7109,佛法,佛法,fófǎ,noun,"Buddhist doctrine, dharma",他潜心研究<b>佛法</b>多年。,He has been studying <b>Buddhist doctrine</b> for many years.,
7110,弦,弦,xián,noun,"string, bowstring, chord",他的小提琴断了一根<b>弦</b>。,A <b>string</b> on his violin broke.,
7111,汗,汗,hàn,noun,"sweat, perspiration",运动完后，他浑身都是<b>汗</b>。,"After exercising, he was covered in <b>sweat</b>.",
7112,作成,作成,zuòchéng,verb,"complete, make into, help to finish",这一笔买卖终于<b>作成</b>了。,This deal was finally <b>completed</b>.,
7113,法治,法治,fǎzhì,noun,"rule of law, legal system",建设现代国家需要完善的<b>法治</b>环境。,Building a modern nation requires a sound environment for the <b>rule of law</b>.,
7114,成年,成年,chéngnián,verb,"come of age, grow up",在很多国家，十八岁就意味着<b>成年</b>。,"In many countries, eighteen marks the age of <b>coming of age</b>.",
7115,非凡,非凡,fēifán,adj,"extraordinary, outstanding, remarkable",她的音乐天赋非常<b>非凡</b>。,Her musical talent is truly <b>extraordinary</b>.,
7116,白雪,白雪,báixuě,noun,white snow,大地被厚厚的<b>白雪</b>覆盖着。,The ground was covered with thick <b>white snow</b>.,
7117,肺,肺,fèi,noun,lung,吸烟对人的<b>肺</b>部有害。,Smoking is harmful to one's <b>lungs</b>.,
7118,官司,官司,guānsī,noun,"lawsuit, legal case",他正忙着打一场经济<b>官司</b>。,He is busy fighting an economic <b>lawsuit</b>.,
7119,树干,樹幹,shùgàn,noun,"tree trunk, bole",这棵古树的<b>树干</b>非常粗壮。,The <b>trunk</b> of this ancient tree is very thick.,
7120,拜托,拜託,bàituō,verb,"request, entrust, please",我有一件事想<b>拜托</b>你帮忙。,I have something I would like to <b>request</b> your help with.,
7121,比对,比對,bǐduì,verb,"compare, check against, match",警方正在<b>比对</b>现场留下的指纹。,The police are <b>comparing</b> the fingerprints left at the scene.,
7122,山东,山東,Shāndōng,noun,Shandong Province,泰山位于中国的<b>山东</b>省。,Mount Tai is located in China's <b>Shandong</b> province.,
7123,加值,加值,jiāzhí,verb,"add value, top up",这里的服务能为产品<b>加值</b>。,The services here can <b>add value</b> to the products.,
7124,水分,水分,shuǐfèn,noun,"moisture, exaggeration, hydration",这种水果含有大量的<b>水分</b>。,This kind of fruit contains a lot of <b>moisture</b>.,
7125,左边,左邊,zuǒbiān,noun,"left side, the left",邮局就在超市的<b>左边</b>。,The post office is right on the <b>left side</b> of the supermarket.,
7126,史前,史前,shǐqián,adj,prehistoric,考古学家发现了<b>史前</b>人类的工具。,Archaeologists discovered <b>prehistoric</b> human tools.,
7127,台中县,台中縣,Táizhōng Xiàn,noun,Taichung County,他出生在<b>台中县</b>。,He was born in <b>Taichung County</b>.,
7128,敲,敲,qiāo,verb,"knock, strike, beat",有人在<b>敲</b>门。,Someone is <b>knocking</b> on the door.,
7129,水土,水土,shuǐtǔ,noun,"climate, water and soil",他初到国外，有些不服<b>水土</b>。,He just arrived abroad and is not used to the <b>climate</b>.,
7130,幕僚,幕僚,mùliáo,noun,"aides, staff, advisors",总统正在与他的<b>幕僚</b>商讨政策。,The president is discussing policies with his <b>aides</b>.,
7131,巩固,鞏固,gǒnggù,verb,"consolidate, strengthen, solidify",我们需要<b>巩固</b>现有的成果。,We need to <b>consolidate</b> our existing achievements.,
7132,演习,演習,yǎnxí,noun,"drill, exercise, maneuver",海军明天将举行军事<b>演习</b>。,The navy will conduct a military <b>drill</b> tomorrow.,
7133,福特,福特,Fútè,noun,Ford,他去年买了一辆<b>福特</b>汽车。,He bought a <b>Ford</b> car last year.,
7134,调,調,tiáo,verb,"adjust, regulate, mediate",请把空调的温度<b>调</b>高一点。,Please <b>adjust</b> the air conditioner temperature higher.,
7135,赔,賠,péi,verb,"compensate, pay for, apologize",如果打碎了东西，你就得<b>赔</b>钱。,"If you break something, you have to <b>pay for</b> it.",
7136,出动,出動,chūdòng,verb,"dispatch, set out, send out",警方<b>出动</b>了大量警力维持秩序。,The police <b>dispatched</b> a large force to maintain order.,
7137,覆盖,覆蓋,fùgài,verb,"cover, blanket, overlay",大雪<b>覆盖</b>了整个山头。,Heavy snow <b>covered</b> the entire hilltop.,
7138,点心,點心,diǎnxīn,noun,"snack, pastry, dim sum",喝茶时吃点<b>点心</b>是很惬意的。,It is pleasant to have some <b>snacks</b> while drinking tea.,
7139,举凡,舉凡,jǔfán,conj,"whatever, everything, all",<b>举凡</b>大事小事，他都要亲自过问。,"<b>Whatever</b> the matter, big or small, he insists on checking it personally.",
7140,响应,響應,xiǎngyìng,verb,"respond, answer, support",许多年轻人积极<b>响应</b>了号召。,Many young people actively <b>responded</b> to the call.,
7141,联谊,聯誼,liányí,verb,"socialize, networking, fellowship",这次<b>联谊</b>活动增进了两校的友谊。,This <b>socializing</b> event enhanced the friendship between the two schools.,
7142,职责,職責,zhízé,noun,"duty, responsibility, obligation",救人是医生的<b>职责</b>。,Saving lives is a doctor's <b>duty</b>.,
7143,谎言,謊言,huǎngyán,noun,"lie, falsehood, fabrication",事实揭穿了他的<b>谎言</b>。,The facts exposed his <b>lie</b>.,
7144,人类学,人類學,rénlèixué,noun,anthropology,她在大学里主修<b>人类学</b>。,She is majoring in <b>anthropology</b> at the university.,
7145,手足,手足,shǒuzú,noun,"brothers, siblings, limbs",他们两人情同<b>手足</b>。,The two of them are as close as <b>brothers</b>.,
7146,会报,會報,huìbào,noun,"briefing, report, proceedings",经理在晨间<b>会报</b>中提到了这个问题。,The manager mentioned this issue during the morning <b>briefing</b>.,
7147,主讲,主講,zhǔjiǎng,verb,"main speaker, give a lecture",今天由他<b>主讲</b>这门课。,He will <b>be the main speaker</b> for this course today.,
7148,刀子,刀子,dāozi,noun,knife,请递给我一把<b>刀子</b>。,Please pass me a <b>knife</b>.,
7149,北平,北平,Běipíng,noun,"Beiping, Peiping",他的祖父曾在<b>北平</b>居住过。,His grandfather once lived in <b>Beiping</b>.,
7150,古物,古物,gǔwù,noun,"antiquity, ancient artifact",博物馆里收藏了许多珍贵的<b>古物</b>。,The museum houses many precious <b>antiquities</b>.,
7151,天使,天使,tiānshǐ,noun,angel,那个孩子笑起来像个<b>天使</b>。,That child laughs like an <b>angel</b>.,
7152,大哥大,大哥大,dàgēdà,noun,"mobile phone (archaic), boss",在九十年代，<b>大哥大</b>是身份的象征。,"In the 1990s, the <b>mobile phone</b> was a status symbol.",
7153,四肢,四肢,sìzhī,noun,"limbs, arms and legs",运动后我感到<b>四肢</b>无力。,I felt weakness in my <b>limbs</b> after exercising.,
7154,情意,情意,qíngyì,noun,"affection, friendly feelings",这份礼物代表了我的一番<b>情意</b>。,This gift represents my <b>affection</b>.,
7155,液晶,液晶,yèjīng,noun,liquid crystal,这台电视采用了最新的<b>液晶</b>技术。,This TV uses the latest <b>liquid crystal</b> technology.,
7156,陪伴,陪伴,péibàn,verb,"accompany, keep company",谢谢你在我生病时<b>陪伴</b>我。,Thank you for <b>keeping me company</b> while I was sick.,
7157,陈述,陳述,chénshù,verb,"state, declare",律师向法庭<b>陈述</b>了事实。,The lawyer <b>stated</b> the facts to the court.,
7158,莫不,莫不,mòbù,adv,"none but, everyone",听了这个消息，大家<b>莫不</b>感到震惊。,Everyone <b>without exception</b> was shocked to hear the news.,
7159,陆军,陸軍,lùjūn,noun,"army, ground forces",他在<b>陆军</b>服役了三年。,He served in the <b>army</b> for three years.,
7160,声称,聲稱,shēngchēng,verb,"claim, profess, assert",他<b>声称</b>对这起事故并不知情。,He <b>claims</b> that he knew nothing about the accident.,
7161,追赶,追趕,zhuīgǎn,verb,"chase after, pursue",警察正在拼命<b>追赶</b>逃犯。,The police are desperately <b>chasing after</b> the fugitive.,
7162,教化,教化,jiàohuà,verb,"enlighten, civilize",礼乐在古代被用来<b>教化</b>百姓。,Rites and music were used to <b>civilize</b> the people in ancient times.,
7163,细则,細則,xìzé,noun,"detailed rules, bylaws",具体的实施<b>细则</b>还在制定中。,The specific implementation <b>detailed rules</b> are still being drafted.,
7164,累计,累計,lěijì,verb,"accumulate, add up to",这部电影的<b>累计</b>票房已突破亿元。,The <b>accumulated</b> box office of this movie has exceeded 100 million yuan.,
7165,处,處,chǔ,verb,"punish, sentence",法院裁定<b>处</b>以罚款。,The court ruled to <b>punish</b> with a fine.,
7166,动植物,動植物,dòngzhíwù,noun,"animals and plants, flora and fauna",这座岛上有很多珍稀的<b>动植物</b>。,There are many rare <b>animals and plants</b> on this island.,
7167,长年,長年,chángnián,adv,"all year round, year-long",他<b>长年</b>在国外工作，很少回家。,He works abroad <b>all year round</b> and rarely comes home.,
7168,封闭,封閉,fēngbì,verb,"seal off, close, confine",这条道路因为施工而被<b>封闭</b>了。,This road has been <b>sealed off</b> due to construction.,
7169,桶,桶,tǒng,measure,"bucket, barrel, tub",他提着一<b>桶</b>水走向花园。,He carried a <b>bucket</b> of water toward the garden.,
7170,透视,透視,tòushì,noun,"perspective, X-ray",这位画家对<b>透视</b>法的掌握非常精准。,This painter's grasp of <b>perspective</b> is very precise.,
7171,急,急,jí,adj,"urgent, anxious, hurried",别<b>急</b>，我们还有足够的时间。,Don't be <b>anxious</b>; we still have enough time.,
7172,贼,賊,zéi,noun,thief,警察终于抓住了那个<b>贼</b>。,The police finally caught the <b>thief</b>.,
7173,毁灭,毀滅,huǐmiè,verb,"destroy, exterminate, ruin",战争<b>毁灭</b>了许多美丽的城市。,War <b>destroyed</b> many beautiful cities.,
7174,残障者,殘障者,cánzhàngzhě,noun,"disabled person, handicapped",这个设施是专门为<b>残障者</b>设计的。,This facility is specifically designed for <b>disabled people</b>.,
7175,诗歌,詩歌,shīgē,noun,"poetry, poems, songs",他从小就非常喜欢朗诵<b>诗歌</b>。,He has loved reciting <b>poetry</b> since he was a child.,
7176,落成,落成,luòchéng,verb,"be completed (building), inauguration",新图书馆将于下个月举行<b>落成</b>典礼。,The new library will hold its <b>completion</b> ceremony next month.,
7177,几,幾,jī,adv,"almost, nearly",他伤得很重，<b>几</b>乎没命了。,He was so badly injured he <b>almost</b> died.,
7178,贫困,貧困,pínkùn,adj,"poor, impoverished, needy",政府正努力帮助那些生活在<b>贫困</b>中的家庭。,The government is working hard to help families living in <b>poverty</b>.,
7179,募款,募款,mùkuǎn,verb,"raise funds, fundraising",学校正在为修建新操场而<b>募款</b>。,The school is <b>raising funds</b> to build a new playground.,
7180,停下来,停下來,tíngxiàlái,verb,"stop, come to a halt",汽车缓缓地在路边<b>停下来</b>。,The car slowly <b>stopped</b> at the side of the road.,
7181,晚饭,晚飯,wǎnfàn,noun,"dinner, supper",我们全家每天晚上一起吃<b>晚饭</b>。,Our whole family eats <b>dinner</b> together every evening.,
7182,秘密,祕密,mìmì,noun,"secret, privacy",这是一个<b>秘密</b>，你千万不能告诉别人。,This is a <b>secret</b>; you must not tell anyone.,
7183,记住,記住,jìzhù,verb,"remember, bear in mind",你必须<b>记住</b>这些重要的公式。,You must <b>remember</b> these important formulas.,
7184,剪,剪,jiǎn,verb,"cut, clip, trim",她把长发<b>剪</b>短了。,She <b>cut</b> her long hair short.,
7185,饮茶,飲茶,yǐnchá,verb,"drink tea, yum cha",爷爷有每天下午<b>饮茶</b>的习惯。,Grandpa has a habit of <b>drinking tea</b> every afternoon.,
7186,李远哲,李遠哲,Lǐ Yuǎnzhé,noun,Yuan Tseh Lee (Nobel laureate),<b>李远哲</b>是首位获得诺贝尔化学奖的台湾人。,<b>Yuan Tseh Lee</b> is the first Taiwanese person to win the Nobel Prize in Chemistry.,
7187,活生生,活生生,huóshēngshēng,adj,"vivid, while still alive, real",这个<b>活生生</b>的例子告诉我们要珍惜生命。,This <b>vivid</b> example tells us to cherish life.,
7188,国军,國軍,guójūn,noun,"national army, ROC armed forces",他曾是<b>国军</b>的一名军官。,He used to be an officer in the <b>national army</b>.,
7189,青菜,青菜,qīngcài,noun,"green vegetables, bok choy",多吃<b>青菜</b>对身体有好处。,Eating more <b>green vegetables</b> is good for your health.,
7190,幽浮,幽浮,yōufú,noun,UFO,有人声称昨晚看到了<b>幽浮</b>。,Someone claimed to have seen a <b>UFO</b> last night.,
7191,虐待,虐待,nuèdài,verb,"abuse, maltreat",法律严禁<b>虐待</b>动物。,The law strictly prohibits the <b>abuse</b> of animals.,
7192,准,准,zhǔn,verb,"allow, permit, grant",老师不<b>准</b>学生在教室内吃东西。,The teacher does not <b>allow</b> students to eat in the classroom.,
7193,为数,為數,wéishù,verb,"amount to, number",参加这次会议的人员<b>为数</b>不多。,The people attending this meeting <b>number</b> only a few.,
7194,面对面,面對面,miànduìmiàn,adv,face to face,我们需要<b>面对面</b>谈谈这个问题。,We need to talk about this issue <b>face to face</b>.,
7195,组,組,zǔ,measure,"group, set",这<b>组</b>数据非常有价值。,This <b>set</b> of data is very valuable.,
7196,细部,細部,xìbù,noun,"details, particulars",工程师正在检查设计的<b>细部</b>。,The engineer is checking the <b>details</b> of the design.,
7197,堂哥,堂哥,tánggē,noun,elder male cousin (paternal),我的<b>堂哥</b>比我大三岁。,My <b>elder male cousin</b> is three years older than me.,
7198,素养,素養,sùyǎng,noun,"cultivation, literacy, attainment",提高艺术<b>素养</b>需要长期的积累。,Improving artistic <b>cultivation</b> requires long-term accumulation.,
7199,扫,掃,sǎo,verb,"sweep, clear away",请把地上的落叶<b>扫</b>干净。,Please <b>sweep</b> the fallen leaves on the ground clean.,
7200,理事,理事,lǐshì,noun,"director, council member, trustee",他被选为协会的<b>理事</b>。,He was elected as a <b>director</b> of the association.,
7201,放入,放入,fàngrù,verb,"put into, load into, insert",请把硬币<b>放入</b>自动售货机。,Please <b>put</b> the coin <b>into</b> the vending machine.,
7202,高涨,高漲,gāozhǎng,verb,"rise, surge, run high",大家的创业热情非常<b>高涨</b>。,Everyone's enthusiasm for starting a business is <b>running high</b>.,
7203,商务,商務,shāngwù,noun,"business affairs, commerce",他这次去北京是去出<b>商务</b>差。,He is going to Beijing on a <b>business</b> trip.,
7204,能干,能幹,nénggàn,adj,"competent, capable, able",她是一个非常<b>能干</b>的经理。,She is a very <b>competent</b> manager.,
7205,核能,核能,hénéng,noun,"nuclear energy, atomic power",许多国家都在利用<b>核能</b>发电。,Many countries use <b>nuclear energy</b> to generate electricity.,
7206,造访,造訪,zàofǎng,verb,"visit, pay a call",他决定亲自<b>造访</b>这位老艺术家。,He decided to <b>visit</b> the old artist in person.,
7207,通,通,tōng,verb,"connect, communicate",这条路直<b>通</b>市中心。,This road leads straight <b>to</b> the city center.,
7208,泪水,淚水,lèishuǐ,noun,"tears, teardrops",她的眼中涌出了<b>泪水</b>。,<b>Tears</b> welled up in her eyes.,
7209,教育部长,教育部長,jiàoyù bùzhǎng,noun,Minister of Education,<b>教育部长</b>视察了这所学校。,The <b>Minister of Education</b> inspected the school.,
7210,时而,時而,shí'ér,adv,"sometimes, from time to time",窗外的风<b>时而</b>猛烈，<b>时而</b>微弱。,The wind outside is <b>sometimes</b> violent and <b>sometimes</b> weak.,
7211,雪梨,雪梨,xuělí,noun,"Sydney, snow pear",他明年要去<b>雪梨</b>度假。,He is going to <b>Sydney</b> for a vacation next year.,
7212,快要,快要,kuàiyào,adv,"soon, about to",电影<b>快要</b>开始了。,The movie is <b>about to</b> start.,
7213,合理化,合理化,hélǐhuà,verb,"rationalize, justify",他试图<b>合理化</b>自己的错误行为。,He tried to <b>rationalize</b> his wrong behavior.,
7214,占领,佔領,zhànlǐng,verb,"occupy, seize",军队已经<b>占领</b>了那座城市。,The army has already <b>occupied</b> that city.,
7215,汽机车,汽機車,qìjīchē,noun,motor vehicles,这条路上禁止<b>汽机车</b>通行。,<b>Motor vehicles</b> are prohibited on this road.,
7216,批准,批准,pīzhǔn,verb,"approve, ratify",经理终于<b>批准</b>了我的假期申请。,The manager finally <b>approved</b> my vacation request.,
7217,刺激,刺激,cìjī,verb,"stimulate, provoke",这种调料会<b>刺激</b>你的胃。,This spice will <b>stimulate</b> your stomach.,
7218,西德,西德,Xīdé,noun,West Germany,他在<b>西德</b>生活了许多年。,He lived in <b>West Germany</b> for many years.,
7219,份量,份量,fènliàng,noun,"weight, amount",这顿午餐的<b>份量</b>非常足。,The <b>amount</b> of food in this lunch is very sufficient.,
7220,合同,合同,hétóng,noun,"contract, agreement",我们签署了一份为期三年的<b>合同</b>。,We signed a three-year <b>contract</b>.,
7221,似,似,sì,verb,"seem, like",他的笑容好<b>似</b>阳光。,His smile is <b>like</b> sunshine.,
7222,村庄,村莊,cūnzhuāng,noun,"village, hamlet",那个小<b>村庄</b>位于山脚下。,That small <b>village</b> is located at the foot of the mountain.,
7223,那里,那裡,nàlǐ,adv,how could... (rhetorical),我<b>那里</b>知道他会来？,<b>How could</b> I have known he would come?,
7224,洞穴,洞穴,dòngxué,noun,"cave, cavern",他们在<b>洞穴</b>里发现了古代壁画。,They discovered ancient murals inside the <b>cave</b>.,
7225,老化,老化,lǎohuà,verb,"age, grow older",随着设备<b>老化</b>，维修费用增加了。,"As the equipment <b>ages</b>, maintenance costs increase.",
7226,风光,風光,fēngguāng,adj,"grand, impressive",他现在的日子过得很<b>风光</b>。,He is living a very <b>grand</b> life these days.,
7227,走过去,走過去,zǒu guòqù,verb,"walk over, go over",他慢慢地向窗边<b>走过去</b>。,He <b>walked over</b> to the window slowly.,
7228,伸,伸,shēn,verb,"stretch, extend",他<b>伸</b>出手去拿那个苹果。,He <b>stretched</b> out his hand to grab that apple.,
7229,免于,免於,miǎnyú,verb,"avoid, be exempt from",我们应该采取措施<b>免于</b>危险。,We should take measures to <b>avoid</b> danger.,
7230,房租,房租,fángzū,noun,"rent, house rent",他每个月都要支付高昂的<b>房租</b>。,He has to pay high <b>rent</b> every month.,
7231,阿美族,阿美族,Āměizú,noun,"Amis ethnic group, Ami people",<b>阿美族</b>是台湾原住民族之一。,The <b>Amis people</b> are one of the indigenous groups in Taiwan.,
7232,纠缠,糾纏,jiūchán,verb,"pester, entangle, nag",别再为这些小事<b>纠缠</b>不清了。,Stop <b>pestering</b> over these trivial matters.,
7233,放出,放出,fàngchū,verb,"release, emit, let out",工厂里<b>放出</b>了大量的浓烟。,The factory <b>emitted</b> a large amount of thick smoke.,
7234,风筝,風箏,fēngzhēng,noun,kite,孩子们在公园里放<b>风筝</b>。,Children are flying <b>kites</b> in the park.,
7235,放映,放映,fàngyìng,verb,"project, screen, show (film)",电影院正在<b>放映</b>最新的大片。,The cinema is <b>screening</b> the latest blockbuster.,
7236,电,電,diàn,verb,"get an electric shock, shock",他不小心被插座<b>电</b>了一下。,He accidentally got <b>shocked</b> by the power outlet.,
7237,改用,改用,gǎiyòng,verb,"switch to, change to",许多人已经<b>改用</b>环保购物袋。,Many people have <b>switched to</b> eco-friendly shopping bags.,
7238,方位,方位,fāngwèi,noun,"position, orientation, bearing",士兵们正在确定敌人的<b>方位</b>。,The soldiers are determining the enemy's <b>position</b>.,
7239,头衔,頭銜,tóuxián,noun,"title, official title",他在这个公司里拥有很高的<b>头衔</b>。,He holds a high <b>title</b> in this company.,
7240,码,碼,mǎ,noun,"code, number, symbol",请输入您的提取<b>码</b>。,Please enter your extraction <b>code</b>.,
7241,整,整,zhěng,verb,"put in order, fix, organize",我打算把房间<b>整</b>一下。,I plan to <b>tidy up</b> the room.,
7242,踏上,踏上,tàshàng,verb,"step on, set foot on",他终于<b>踏上</b>了故乡的土地。,He finally <b>set foot on</b> the soil of his hometown.,
7243,憧憬,憧憬,chōngjǐng,verb,"long for, look forward to",我们<b>憧憬</b>着美好的未来。,We <b>long for</b> a bright future.,
7244,总务,總務,zǒngwù,noun,"general affairs, administrator",公司的<b>总务</b>负责所有的日常开支。,The company's <b>general affairs</b> department handles all daily expenses.,
7245,台北县,臺北縣,Táiběixiàn,noun,Taipei County,<b>台北县</b>现在已经改制为新北市。,<b>Taipei County</b> has now been restructured into New Taipei City.,
7246,撞,撞,zhuàng,verb,"collide, bump into, hit",他的车不小心<b>撞</b>到了电线杆。,His car accidentally <b>hit</b> a utility pole.,
